id,name,artist,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2PRsh2LNPxoxC9OnErnelg,Halftime,Nas,Hip-hop 90s,0.766,0.793,4,-6.638,0.166,0.0303,8.09e-06,0.173,0.652,91.925,260800,4
6C3yPXYG2NJYlIYVe5J7hv,I'll Be There For You/You're All I Need To Get By - Puff Daddy Mix,Method Man,Hip-hop 90s,0.722,0.745,4,-6.059,0.0536,0.151,6.03e-06,0.337,0.606,95.02,309947,4
5K5dQsYdSdo2LKdepxbYAd,Gettin' It (feat. Parliament Funkadelic),Too $hort,Hip-hop 90s,0.902,0.41,1,-5.31,0.219,0.176,0.0,0.119,0.647,84.07,341427,4
4LGMSdeKOUoy5Wf75Je0Hl,Can I Get A...,JAY-Z,Hip-hop 90s,0.792,0.694,8,-8.496,0.33,0.0619,2.32e-05,0.25,0.804,177.094,309773,4
1RXEb6UTxJ05RffnAWfUOE,Player's Ball,Outkast,Hip-hop 90s,0.857,0.764,1,-6.304,0.246,0.0398,0.0,0.425,0.578,93.071,261267,4
1zS4PMsHfkSXPkzrEkCkC6,Invocation,Common,Hip-hop 90s,0.753,0.539,6,-8.03,0.425,0.0515,1.19e-05,0.0841,0.78,83.92,134040,4
1nSUJWYRqsafI8Bh1X0ypp,People Everyday - Metamorphosis Mix,Arrested Development,Hip-hop 90s,0.843,0.508,10,-13.918,0.221,0.00852,2.1e-06,0.648,0.704,91.094,298773,4
67mtN6BlsJR0LVyzvNZnGt,Tonight's Da Night,Redman,Hip-hop 90s,0.7,0.687,6,-11.111,0.378,0.26,4.8e-05,0.403,0.866,90.278,201373,4
1B53Y95tPd4ah4FExO0egE,What They Do,The Roots,Hip-hop 90s,0.885,0.414,0,-10.539,0.166,0.341,0.000297,0.0891,0.684,92.727,357200,4
6nwAubYnLGl7F7cDuOoVLp,Quiet Storm,Mobb Deep,Hip-hop 90s,0.79,0.728,2,-9.221,0.391,0.366,0.0,0.112,0.403,96.978,265493,4
0HOqINudNgQFpg1le5Hnqe,Damn It Feels Good to Be a Gangsta,Geto Boys,Hip-hop 90s,0.785,0.793,1,-7.915,0.163,0.22,0.718,0.124,0.655,88.902,310600,4
2oLwDI8tZUOh6SmTMRRfKs,Elevators (Me & You),Outkast,Hip-hop 90s,0.772,0.586,10,-10.434,0.301,0.0234,0.000722,0.0562,0.643,85.068,265200,4
3gTPlYouwH2OoVbMQBB4UC,Gz and Hustlas,Snoop Dogg,Hip-hop 90s,0.674,0.767,10,-6.598,0.319,0.354,0.0,0.346,0.797,91.719,275893,4
6SI4JD7iyQ0rrudhCNtMv0,"Ice Cream (feat. Ghostface Killah, Method Man & Cappadonna)",Raekwon,Hip-hop 90s,0.683,0.902,1,-7.389,0.291,0.219,0.000761,0.226,0.724,90.447,253227,4
5czjjnbTatyFal33a9h1aN,Guess Who's Back,Rakim,Hip-hop 90s,0.796,0.798,6,-7.456,0.262,0.0153,0.0,0.106,0.692,94.016,250907,4
5KapB9KJnRsZrprzIAXycW,Uknowhowwedu,Bahamadia,Hip-hop 90s,0.534,0.596,6,-10.289,0.388,0.641,2.16e-05,0.276,0.908,185.733,214867,4
2WRzpLD8qDRrxMXc63E5WJ,The Rain (Supa Dupa Fly),Missy Elliott,Hip-hop 90s,0.836,0.595,6,-9.338,0.201,0.141,0.00375,0.329,0.762,79.98,251000,4
1VzhfMEGIIkn5hFITMJzW1,Loungin',Guru,Hip-hop 90s,0.716,0.58,10,-12.747,0.239,0.0694,6.71e-06,0.906,0.707,99.077,279640,4
4k9EkhkFZY8Bk41Qi0Ob7P,The Choice Is Yours (Revisited),Black Sheep,Hip-hop 90s,0.867,0.679,10,-12.028,0.207,0.0336,1.59e-06,0.0742,0.68,101.293,243200,4
1siDRjAa8MdxNoCHTiiQ7B,Been Around the World (feat. The Notorious B.I.G. & Mase),Diddy,Hip-hop 90s,0.815,0.529,6,-10.117,0.28,0.0191,0.0,0.406,0.73,99.439,325933,4
6w4MlvpuxtbjGdL9YeTx89,Jazzy Belle,Outkast,Hip-hop 90s,0.878,0.65,11,-8.08,0.252,0.0178,0.0,0.0408,0.101,92.03,251667,4
0snDRsjNRMJhm7SVja8l6J,MC's Act Like They Don't Know,KRS-One,Hip-hop 90s,0.855,0.798,1,-4.018,0.237,0.0101,0.000615,0.628,0.855,90.429,295933,4
34MRi5GRWHFUa731JBxFEl,Chief Rocka,Lords Of The Underground,Hip-hop 90s,0.89,0.716,1,-9.673,0.296,0.174,0.000589,0.0657,0.656,99.987,247400,4
4C7Ss9bTPOWJMh3rarF1mN,Definition,Black Star,Hip-hop 90s,0.65,0.9,1,-4.099,0.374,0.0252,0.0,0.176,0.659,89.788,206493,4
6g5ov3aSDUvvDkQKIcmZQI,"Guantanamera (feat. Ms. Lauryn Hill, Celia Cruz & Jeni Fujita)",Wyclef Jean,Hip-hop 90s,0.833,0.431,2,-8.991,0.178,0.00195,0.000278,0.124,0.385,87.97,270493,4
7aRGb3vZGMLNpK2PEdUjdA,He Got Game,Public Enemy,Hip-hop 90s,0.825,0.639,4,-6.607,0.185,0.0731,0.0225,0.0612,0.866,97.389,286200,4
2FWmKZ3kNbVsKGhuNHsltW,Brooklyn Zoo,Ol' Dirty Bastard,Hip-hop 90s,0.704,0.701,2,-8.031,0.46,0.549,0.0,0.664,0.618,92.032,217507,4
550JPXXPgjr1xqxtKIaX6b,Ante Up (Robbin Hoodz Theory),M.O.P.,Hip-hop 90s,0.699,0.793,1,-4.856,0.268,0.00514,2.75e-06,0.7,0.929,94.138,248693,4
12LjNmRrdzhTn1vMcxN81m,Money Ain't a Thang (feat. Jay-Z),Jermaine Dupri,Hip-hop 90s,0.854,0.738,6,-7.284,0.244,0.0581,0.0,0.106,0.847,100.0,254253,4
20DcrlNK0NcRknbX4wcEO4,Luchini AKA This Is It,Camp Lo,Hip-hop 90s,0.721,0.949,6,-5.685,0.278,0.0495,0.0,0.327,0.835,83.028,240093,4
5xXL4i9L2ZbKBtENNh8fWY,Step into a World (Rapture's Delight),KRS-One,Hip-hop 90s,0.803,0.806,0,-7.805,0.265,0.00761,0.00544,0.101,0.624,94.994,289907,4
5PbFD3AIyunz5HxocduA9e,"Flava in Ya Ear Remix (feat. The Notorious B.I.G., LL Cool J, Busta Rhymes, Rampage)",Craig Mack,Hip-hop 90s,0.52,0.847,9,-5.3,0.427,0.275,0.0,0.325,0.799,177.377,302013,4
525yPO8r5J6kLostDxm3XK,Back That Azz Up,JUVENILE,Hip-hop 90s,0.752,0.82,2,-3.35,0.257,0.0339,0.0,0.0998,0.528,191.686,265560,4
2ObBVRY8a2lnAkNG62u9eC,Beautiful As You,Thomas Rhett,Country,0.722,0.725,9,-4.41,0.037,0.153,0.0,0.393,0.468,128.007,163894,4
2z5t8IRRtt5vwkSzP9umJo,your place,Ashley Cooke,Country,0.448,0.632,5,-4.083,0.0297,0.134,0.0,0.317,0.418,76.968,182086,4
5crxqqibcvoOQQgg4HjAFQ,Guy For That (Feat. Luke Combs),Post Malone,Country,0.608,0.914,8,-4.116,0.0721,0.00545,0.0,0.137,0.511,120.01,164011,4
7lCs3stpWCtAn5Y2lmnPhV,I Ain't Sayin',Jordan Davis,Country,0.614,0.912,8,-4.587,0.0452,0.446,0.0,0.163,0.918,76.995,174060,4
1t2MQpMDtJT5VL2tAPHrGN,Cowboys Cry Too (with Noah Kahan),Kelsea Ballerini,Country,0.442,0.603,11,-5.719,0.0304,0.602,0.0,0.161,0.456,86.494,230600,4
5iJKGpnFfvbjZJeAtwXfCj,28,Zach Bryan,Country,0.492,0.519,7,-6.886,0.0288,0.227,8.47e-05,0.0693,0.435,80.868,233333,3
65M92JpTbAdHmTQm4jGaDa,Think I'm In Love With You,Chris Stapleton,Country,0.671,0.418,6,-14.124,0.0371,0.187,0.215,0.132,0.607,91.866,222800,4
1osfLqL6L2iQsirRf83ded,Worst Way,Riley Green,Country,0.366,0.492,11,-7.9,0.0324,0.0899,0.000994,0.132,0.349,197.768,220558,3
6w7OpHp3Y3ByHzmfQXYCRN,Hang Tight Honey,Lainey Wilson,Country,0.494,0.956,0,-4.67,0.0729,0.0266,3.58e-05,0.665,0.772,171.977,189787,4
61SRKyox0R9jCzci4JXKBS,What He'll Never Have,Dylan Scott,Country,0.489,0.755,6,-4.471,0.045,0.0124,0.0,0.28,0.384,113.05,153907,4
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),Post Malone,Country,0.638,0.855,7,-4.86,0.0264,0.00757,0.0,0.245,0.731,127.986,178206,4
6b81dy3WjbozXK6b7C1gu5,Austin,Dasha,Country,0.75,0.671,0,-6.753,0.0532,0.468,3.75e-06,0.108,0.738,114.902,171783,4
1kMWJ16W3Yk3hyNmaM7jfQ,Holy Smokes,Bailey Zimmerman,Country,0.462,0.569,7,-7.908,0.0321,0.509,0.0,0.12,0.432,95.117,195158,4
0y5Ex8oQ8zCH5TQxHUy1Eo,you look like you love me (feat. Riley Green),Ella Langley,Country,0.663,0.675,11,-5.851,0.0321,0.353,0.0,0.21,0.455,128.942,224280,4
5JRYVSZ6K2jY0kznYBmoqr,Wind Up Missin' You,Tucker Wetmore,Country,0.566,0.734,6,-5.631,0.0349,0.523,0.0,0.124,0.619,171.829,166040,4
7Fzl7QaTu47WyP9R5S5mh5,Lies Lies Lies,Morgan Wallen,Country,0.486,0.702,1,-5.758,0.0298,0.239,7.54e-05,0.0912,0.382,81.053,198069,4
6KYBVkFGf21hPd01gVkJ5T,truck on fire,Carly Pearce,Country,0.49,0.711,0,-4.925,0.0454,0.464,1.05e-06,0.297,0.712,171.839,188040,4
6GG4yyk3UATdBfTHVgI8PB,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,Country,0.487,0.658,5,-9.973,0.0296,0.00877,0.00777,0.1,0.282,142.18,210950,4
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,Country,0.722,0.709,9,-4.95,0.0273,0.0633,0.0,0.0804,0.604,81.012,171292,4
73KAidtqbDftZjy8AD0H04,High Road (feat. Jessie Murph),Koe Wetzel,Country,0.614,0.743,6,-5.046,0.0313,0.0839,0.0,0.107,0.623,138.077,179413,4
4pkb8SbRGeHAvdb87v9rpf,Miles On It,Marshmello,Country,0.634,0.761,5,-4.752,0.0472,0.00537,0.0,0.549,0.785,129.963,168454,4
4cfJwDxcinpg5gYUZ4qysj,Relapse,Warren Zeiders,Country,0.566,0.752,1,-4.102,0.0335,0.000212,0.0,0.0753,0.395,140.953,158634,4
36wAwEkSDpNQ4oQeRLYC3L,Am I Okay?,Megan Moroney,Country,0.593,0.734,9,-5.416,0.0514,0.02,0.0,0.138,0.518,125.937,235003,4
6tWGe6nvXFWT0KhGCXM89q,Devil You Know,Tyler Braden,Country,0.52,0.8,1,-4.256,0.041,0.00801,0.0,0.303,0.538,93.155,192693,4
3Sg0jiuv2ckmxTBX4tLJQq,Just Like Johnny,Redferrin,Country,0.589,0.625,4,-5.302,0.0405,0.0268,1.51e-05,0.124,0.143,125.997,199392,4
4SrGX1rwNtpiTx5BLQpggt,Called Crazy,Kassi Ashton,Country,0.515,0.844,10,-3.062,0.0447,0.258,0.0,0.0918,0.382,145.864,199728,4
3Rfre3qkrhwdZZ7dyznwbN,Lonely Road (with Jelly Roll),mgk,Country,0.549,0.679,7,-5.501,0.0346,0.0103,0.0,0.365,0.235,100.214,189357,4
7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls (feat. ERNEST),Morgan Wallen,Country,0.621,0.779,8,-3.777,0.0361,0.216,8.62e-06,0.165,0.399,172.037,181621,4
3DnsQ5O4uJw3MlYgvBJSCq,Maxed Out,Bayker Blankenship,Country,0.685,0.374,7,-10.778,0.036,0.359,8.43e-06,0.106,0.364,145.915,172608,4
2h9qRt8R214yJEBfoPAv3B,Strangers,Kameron Marlowe,Country,0.538,0.672,8,-4.061,0.0339,0.011,0.0,0.224,0.515,123.925,211992,3
58VwVmMvmGTd2Zj5oDlIAA,Bones,Russell Dickerson,Country,0.564,0.639,0,-4.379,0.0301,0.147,0.0,0.101,0.395,130.02,173062,4
0mVYqxsm3ReFqAuxG9Orrk,Whiskey Blues,Tanner Adell,Country,0.608,0.606,5,-3.423,0.0514,0.0952,0.0,0.236,0.707,139.69,133016,4
2JyM1u6xSHBJVpbeFrC4B5,Coming Home,Old Dominion,Country,0.593,0.903,5,-4.803,0.0477,0.0139,0.0,0.104,0.789,116.093,170240,4
119cU5gffLzRlsEGSshPNQ,Park,Tyler Hubbard,Country,0.602,0.89,7,-4.114,0.0409,0.00216,0.0,0.18,0.609,104.012,164264,4
1GUvNctSDGXpo7S3H3uxpT,Dammit Randy,Miranda Lambert,Country,0.462,0.845,4,-5.26,0.0377,0.0577,2.1e-05,0.11,0.348,159.998,179559,4
4boa7Bv0VijpxoP1SHjjUb,Wanna Be Loved,The Red Clay Strays,Country,0.621,0.469,8,-6.015,0.0296,0.603,3.29e-05,0.128,0.363,73.16,217308,4
76ODTQOl0JZQbhfxs6nRV9,I Am Not Okay,Jelly Roll,Country,0.512,0.672,7,-5.298,0.03,0.0602,0.0,0.158,0.393,76.821,197133,4
5ULNiLtUzRZIpbdHz47DkL,Hell is a Dance Floor,Vincent Mason,Country,0.648,0.353,9,-7.302,0.0329,0.79,0.0,0.082,0.471,130.077,209077,4
5NuUKKMA2qsltM1DnSJZLL,Arm's Length,Kacey Musgraves,Country,0.681,0.409,2,-10.48,0.0283,0.763,2.8e-06,0.0823,0.301,129.982,238493,4
7kpCMD8iv4RC971CJRPZ3U,A Cigarette,Gavin Adcock,Country,0.61,0.15,7,-11.946,0.0284,0.855,1.92e-06,0.128,0.21,136.089,179883,4
2fKAG7MnnFDrQERDAzSztc,Single Again,Josh Ross,Country,0.537,0.873,1,-4.516,0.0521,0.0299,0.0,0.0768,0.51,130.007,179051,4
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,Zach Bryan,Country,0.525,0.488,0,-6.909,0.038,0.191,5.14e-05,0.135,0.253,84.999,194920,4
2g6WCOlZS7mePH81Bxxa9s,Make It Look Easy,Avery Anna,Country,0.369,0.688,6,-4.171,0.0358,0.159,0.0,0.353,0.403,170.147,152213,4
